regdNo,date,time
503,02/06/2021,17:57:27
503,02/06/2021,17:57:41
501,02/06/2021,18:02:58
501,02/06/2021,18:03:04
501,02/06/2021,18:03:20
503,03/06/2021,16:48:15
503,03/06/2021,16:48:42
503,03/06/2021,16:50:56
503,03/06/2021,16:52:39
503,03/06/2021,16:56:24
503,03/06/2021,16:56:40
503,03/06/2021,16:58:58
503,03/06/2021,16:59:13
503,03/06/2021,17:04:10
503,03/06/2021,17:04:27
503,03/06/2021,17:07:56
503,03/06/2021,17:08:12
503,03/06/2021,17:11:19
503,03/06/2021,17:12:14
503,03/06/2021,17:12:31
503,03/06/2021,17:16:59
503,03/06/2021,17:18:07
503,03/06/2021,17:20:27
503,03/06/2021,17:30:02
503,03/06/2021,17:41:48
503,03/06/2021,17:55:09
501,03/06/2021,17:55:16
501,03/06/2021,17:56:46
501,03/06/2021,18:05:00
501,03/06/2021,18:05:12
501,03/06/2021,18:05:18
503,03/06/2021,18:05:24
503,03/06/2021,18:05:31
503,03/06/2021,18:12:43
501,03/06/2021,18:13:02
501,03/06/2021,18:17:08
503,03/06/2021,18:22:11
